Temp,Densidad,Calor Esp,Cond. Ter.,Dif. Ter.,Visc. Din.,Visc. Cin,Numero de Prandtl
1719,0.1799,1247,0.10262,4.6771E-04,0.00006173,0.0003512424,0.7505
1720,0.1798,1247,0.10265,4.6806E-04,0.00006175,0.000351512,0.7505
1721,0.1797,1247,0.10268,4.6842E-04,0.00006176,0.0003517816,0.7505
1722,0.1796,1247,0.10271,4.6877E-04,0.00006178,0.0003520512,0.7505
1723,0.1795,1247,0.10274,4.6912E-04,0.00006180,0.0003523208,0.7505
1724,0.1794,1247,0.10277,4.6947E-04,0.00006181,0.0003525904,0.7505
1725,0.1793,1248,0.10280,4.6982E-04,0.00006183,0.00035286,0.7505
1726,0.1792,1248,0.10283,4.7017E-04,0.00006184,0.0003531296,0.7506
1727,0.1792,1248,0.10286,4.7052E-04,0.00006186,0.0003533992,0.7506
1728,0.1791,1248,0.10289,4.7087E-04,0.00006188,0.0003536688,0.7506
1729,0.1790,1248,0.10292,4.7122E-04,0.00006189,0.0003539384,0.7506
1730,0.1789,1248,0.10295,4.7158E-04,0.00006191,0.000354208,0.7506
1731,0.1788,1248,0.10298,4.7193E-04,0.00006193,0.0003544776,0.7506
1732,0.1787,1248,0.10301,4.7228E-04,0.00006194,0.0003547472,0.7506
1733,0.1786,1248,0.10305,4.7263E-04,0.00006196,0.0003550168,0.7506
1734,0.1785,1248,0.10308,4.7298E-04,0.00006197,0.0003552864,0.7507
1735,0.1785,1248,0.10311,4.7333E-04,0.00006199,0.000355556,0.7507
1736,0.1784,1248,0.10314,4.7368E-04,0.00006201,0.0003558256,0.7507
1737,0.1783,1248,0.10317,4.7403E-04,0.00006202,0.0003560952,0.7507
1738,0.1782,1248,0.10320,4.7439E-04,0.00006204,0.0003563648,0.7507
1739,0.1781,1248,0.10323,4.7474E-04,0.00006206,0.0003566344,0.7507
1740,0.1780,1248,0.10326,4.7509E-04,0.00006207,0.000356904,0.7507
1741,0.1779,1248,0.10329,4.7544E-04,0.00006209,0.0003571736,0.7507
1742,0.1778,1249,0.10332,4.7579E-04,0.00006210,0.0003574432,0.7508
1743,0.1778,1249,0.10335,4.7614E-04,0.00006212,0.0003577128,0.7508
1744,0.1777,1249,0.10338,4.7649E-04,0.00006214,0.0003579824,0.7508
